gene_id	gene_type	gene_name
ENSMUSG00000090688	protein_coding	Vmn2r12
ENSMUSG00000091635	protein_coding	Vmn2r13
ENSMUSG00000091059	protein_coding	Vmn2r14
ENSMUSG00000091375	protein_coding	Vmn2r15
ENSMUSG00000092080	protein_coding	Vmn2r16
ENSMUSG00000091879	protein_coding	Vmn2r17
ENSMUSG00000033467	protein_coding	Crlf2
ENSMUSG00000072763	protein_coding	5430403G16Rik
ENSMUSG00000072762	protein_coding	4930522L14Rik
ENSMUSG00000105471	lncRNA	A430073D23Rik
ENSMUSG00000097140	lncRNA	Gm26779
ENSMUSG00000090015	protein_coding	Gm15446
ENSMUSG00000097863	lncRNA	1010001B22Rik
ENSMUSG00000066613	protein_coding	Zfp932
ENSMUSG00000090963	protein_coding	Gm17655
ENSMUSG00000109771	protein_coding	Gm35315
ENSMUSG00000064247	protein_coding	Plcxd1
ENSMUSG00000033434	protein_coding	Gtpbp6
ENSMUSG00000023284	protein_coding	Zfp605
ENSMUSG00000014668	protein_coding	Chfr
ENSMUSG00000105541	lncRNA	Gm43136
ENSMUSG00000086247	lncRNA	Gm15787
ENSMUSG00000029502	protein_coding	Golga3
ENSMUSG00000104720	lncRNA	Gm43138
ENSMUSG00000104970	lncRNA	Gm43137
ENSMUSG00000029501	protein_coding	Ankle2
ENSMUSG00000029500	protein_coding	Pgam5
ENSMUSG00000087439	lncRNA	Gm15788
ENSMUSG00000029499	protein_coding	Pxmp2
ENSMUSG00000007080	protein_coding	Pole
ENSMUSG00000085606	lncRNA	Gm15792
ENSMUSG00000029503	protein_coding	P2rx2
ENSMUSG00000072754	protein_coding	Lrcol1
ENSMUSG00000043323	protein_coding	Fbrsl1
ENSMUSG00000105482	lncRNA	Gm42596
ENSMUSG00000048215	lncRNA	A630023P12Rik
ENSMUSG00000033316	protein_coding	Galnt9
ENSMUSG00000033294	protein_coding	Noc4l
ENSMUSG00000029504	protein_coding	Ddx51
ENSMUSG00000105161	lncRNA	Gm42595
ENSMUSG00000029505	protein_coding	Ep400
ENSMUSG00000086401	lncRNA	Gm15559
ENSMUSG00000029507	protein_coding	Pus1
ENSMUSG00000029512	protein_coding	Ulk1
ENSMUSG00000043510	protein_coding	Hscb
ENSMUSG00000029521	protein_coding	Chek2
ENSMUSG00000033209	protein_coding	Ttc28
ENSMUSG00000050017	protein_coding	Pitpnb
ENSMUSG00000104559	lncRNA	Gm43118
ENSMUSG00000070576	protein_coding	Mn1
ENSMUSG00000052848	lncRNA	C130026L21Rik
ENSMUSG00000104833	lncRNA	Gm42489
ENSMUSG00000096949	protein_coding	Gm26897
ENSMUSG00000085271	lncRNA	E130006D01Rik
ENSMUSG00000085919	lncRNA	Gm16019
ENSMUSG00000105376	lncRNA	Gm36535
ENSMUSG00000106060	lncRNA	Gm42488
ENSMUSG00000104538	lncRNA	1700016B01Rik
ENSMUSG00000101683	lncRNA	1700028D13Rik
ENSMUSG00000097767	lncRNA	Miat
ENSMUSG00000097986	lncRNA	Gm26953
ENSMUSG00000066975	protein_coding	Cryba4
ENSMUSG00000029343	protein_coding	Crybb1
ENSMUSG00000029344	protein_coding	Tpst2
ENSMUSG00000029345	protein_coding	Tfip11
ENSMUSG00000029346	protein_coding	Srrd
ENSMUSG00000042328	protein_coding	Hps4
ENSMUSG00000051503	protein_coding	Gm6583
ENSMUSG00000093637	lncRNA	Gm20636
ENSMUSG00000029348	protein_coding	Asphd2
ENSMUSG00000058153	protein_coding	Sez6l
ENSMUSG00000072722	protein_coding	Gm6588
ENSMUSG00000098027	lncRNA	Gm27004
ENSMUSG00000097962	lncRNA	1700034G24Rik
ENSMUSG00000105152	lncRNA	Gm42864
ENSMUSG00000104807	lncRNA	Gm42865
ENSMUSG00000072720	protein_coding	Myo18b
ENSMUSG00000098230	lncRNA	1700095B10Rik
ENSMUSG00000042249	protein_coding	Grk3
ENSMUSG00000042240	protein_coding	Crybb2
ENSMUSG00000029352	protein_coding	Crybb3
ENSMUSG00000051339	protein_coding	2900026A02Rik
ENSMUSG00000106659	lncRNA	Gm42161
ENSMUSG00000066964	protein_coding	Tmem211
ENSMUSG00000042216	protein_coding	Sgsm1
ENSMUSG00000053873	protein_coding	Aym1
ENSMUSG00000063430	protein_coding	Wscd2
ENSMUSG00000042190	protein_coding	Cmklr1
ENSMUSG00000085713	lncRNA	Gm15736
ENSMUSG00000042184	protein_coding	1700069L16Rik
ENSMUSG00000053334	protein_coding	Ficd
ENSMUSG00000018974	protein_coding	Sart3
ENSMUSG00000025825	protein_coding	Iscu
ENSMUSG00000054675	protein_coding	Tmem119
ENSMUSG00000048163	protein_coding	Selplg
ENSMUSG00000004530	protein_coding	Coro1c
ENSMUSG00000090458	lncRNA	Gm17122
ENSMUSG00000105664	lncRNA	Gm42797
ENSMUSG00000042121	protein_coding	Ssh1
ENSMUSG00000042096	protein_coding	Dao
ENSMUSG00000042078	protein_coding	Svop
ENSMUSG00000029592	protein_coding	Usp30
ENSMUSG00000044339	protein_coding	Alkbh2
ENSMUSG00000029591	protein_coding	Ung
ENSMUSG00000042010	protein_coding	Acacb
ENSMUSG00000042002	protein_coding	Foxn4
ENSMUSG00000066952	protein_coding	Myo1h
ENSMUSG00000001098	protein_coding	Kctd10
ENSMUSG00000029577	protein_coding	Ube3b
ENSMUSG00000029575	protein_coding	Mmab
ENSMUSG00000041939	protein_coding	Mvk
ENSMUSG00000086302	lncRNA	Gm13790
ENSMUSG00000041930	protein_coding	Fam222a
ENSMUSG00000014158	protein_coding	Trpv4
ENSMUSG00000011884	protein_coding	Gltp
ENSMUSG00000002486	protein_coding	Tchp
ENSMUSG00000107340	lncRNA	Gm42789
ENSMUSG00000041890	protein_coding	Git2
ENSMUSG00000092183	lncRNA	4930515G01Rik
ENSMUSG00000041870	protein_coding	Ankrd13a
ENSMUSG00000072694	protein_coding	1500011B03Rik
ENSMUSG00000029564	protein_coding	4930519G04Rik
ENSMUSG00000107108	lncRNA	Gm9936
ENSMUSG00000029561	protein_coding	Oasl2
ENSMUSG00000087477	lncRNA	Gm13822
ENSMUSG00000041827	protein_coding	Oasl1
ENSMUSG00000029559	protein_coding	2210016L21Rik
ENSMUSG00000029556	protein_coding	Hnf1a
ENSMUSG00000086054	lncRNA	Hnf1aos1
ENSMUSG00000086140	lncRNA	Hnf1aos2
ENSMUSG00000029550	protein_coding	Sppl3
ENSMUSG00000072693	protein_coding	Gm10401
ENSMUSG00000029545	protein_coding	Acads
ENSMUSG00000046562	protein_coding	Unc119b
ENSMUSG00000048578	protein_coding	Mlec
ENSMUSG00000029544	protein_coding	Cabp1
ENSMUSG00000060152	protein_coding	Pop5
ENSMUSG00000041740	protein_coding	Rnf10
ENSMUSG00000041733	protein_coding	Coq5
ENSMUSG00000009013	protein_coding	Dynll1
ENSMUSG00000086368	lncRNA	Gm13830
ENSMUSG00000029538	protein_coding	Srsf9
ENSMUSG00000029536	protein_coding	Gatc
ENSMUSG00000029535	protein_coding	Triap1
ENSMUSG00000041697	protein_coding	Cox6a1
ENSMUSG00000107288	lncRNA	Gm42903
ENSMUSG00000086352	lncRNA	4930401G09Rik
ENSMUSG00000087292	lncRNA	Gm13832
ENSMUSG00000054256	protein_coding	Msi1
ENSMUSG00000107353	lncRNA	4930430O22Rik
ENSMUSG00000029522	protein_coding	Pla2g1b
ENSMUSG00000029524	protein_coding	Sirt4
ENSMUSG00000029528	protein_coding	Pxn
ENSMUSG00000086849	lncRNA	Gm13840
ENSMUSG00000067274	protein_coding	Rplp0
ENSMUSG00000041638	protein_coding	Gcn1
ENSMUSG00000107121	lncRNA	1110006O24Rik
ENSMUSG00000029518	protein_coding	Rab35
ENSMUSG00000041609	protein_coding	Bicdl1
ENSMUSG00000029516	protein_coding	Cit
ENSMUSG00000085376	lncRNA	Gm14508
ENSMUSG00000029513	protein_coding	Prkab1
ENSMUSG00000084992	lncRNA	Gm13842
ENSMUSG00000079278	protein_coding	Tmem233
ENSMUSG00000086655	lncRNA	C330018A13Rik
ENSMUSG00000043913	protein_coding	Ccdc60
ENSMUSG00000086122	lncRNA	Gm14507
ENSMUSG00000086055	lncRNA	Gm13837
ENSMUSG00000087124	lncRNA	Gm13839
ENSMUSG00000084921	lncRNA	Gm13838
ENSMUSG00000086715	lncRNA	B230112J18Rik
ENSMUSG00000086945	lncRNA	4930562A09Rik
ENSMUSG00000041548	protein_coding	Hspb8
ENSMUSG00000086219	lncRNA	Srrm4os
ENSMUSG00000063919	protein_coding	Srrm4
ENSMUSG00000106914	lncRNA	Gm42854
ENSMUSG00000106909	lncRNA	Gm43122
ENSMUSG00000107237	lncRNA	Gm29926
ENSMUSG00000066900	protein_coding	Suds3
ENSMUSG00000086047	lncRNA	9530046B11Rik
ENSMUSG00000061288	protein_coding	Taok3
ENSMUSG00000032959	protein_coding	Pebp1
ENSMUSG00000097163	lncRNA	BC051077
ENSMUSG00000072688	lncRNA	Gm10399
ENSMUSG00000066894	protein_coding	Vsig10
ENSMUSG00000029364	protein_coding	Wsb2
ENSMUSG00000029363	protein_coding	Rfc5
ENSMUSG00000086075	lncRNA	Gm15728
ENSMUSG00000061578	protein_coding	Ksr2
ENSMUSG00000029361	protein_coding	Nos1
ENSMUSG00000098072	lncRNA	Gm26995
ENSMUSG00000032898	protein_coding	Fbxo21
ENSMUSG00000029359	protein_coding	Tesc
ENSMUSG00000032867	protein_coding	Fbxw8
ENSMUSG00000029360	lncRNA	Gm9754
ENSMUSG00000046607	protein_coding	Hrk
ENSMUSG00000032850	protein_coding	Rnft2
ENSMUSG00000032840	protein_coding	2410131K14Rik
ENSMUSG00000106812	lncRNA	Gm28563
ENSMUSG00000018076	protein_coding	Med13l
ENSMUSG00000106708	lncRNA	Gm43782
ENSMUSG00000106745	lncRNA	Gm43342
ENSMUSG00000107144	lncRNA	4930413E15Rik
ENSMUSG00000100573	lncRNA	1700081H04Rik
ENSMUSG00000107334	lncRNA	Gm7538
ENSMUSG00000106938	lncRNA	Gm31314
ENSMUSG00000087516	lncRNA	Tbx3os1
ENSMUSG00000085708	lncRNA	Gm16063
ENSMUSG00000085345	lncRNA	Gm16064
ENSMUSG00000018604	protein_coding	Tbx3
ENSMUSG00000086847	lncRNA	Tbx3os2
ENSMUSG00000107053	lncRNA	1700021F13Rik
ENSMUSG00000106795	lncRNA	Gm43050
ENSMUSG00000018263	protein_coding	Tbx5
ENSMUSG00000107084	lncRNA	Gm43269
ENSMUSG00000107063	lncRNA	Gm38554
ENSMUSG00000029594	protein_coding	Rbm19
ENSMUSG00000097368	lncRNA	Gm10390
ENSMUSG00000107141	lncRNA	Gm42654
ENSMUSG00000098649	lncRNA	Gm27199
ENSMUSG00000029595	protein_coding	Lhx5
ENSMUSG00000029596	protein_coding	Sdsl
ENSMUSG00000029597	protein_coding	Sds
ENSMUSG00000086165	lncRNA	Gm15690
ENSMUSG00000029598	protein_coding	Plbd2
ENSMUSG00000032754	protein_coding	Slc8b1
ENSMUSG00000032741	protein_coding	Tpcn1
ENSMUSG00000029601	protein_coding	Iqcd
ENSMUSG00000029600	protein_coding	Rita1
ENSMUSG00000029599	protein_coding	Ddx54
ENSMUSG00000107191	lncRNA	Gm43579
ENSMUSG00000094282	protein_coding	Cfap73
ENSMUSG00000089830	lncRNA	Gm15749
ENSMUSG00000029602	protein_coding	Rasal1
ENSMUSG00000029603	protein_coding	Dtx1
ENSMUSG00000032690	protein_coding	Oas2
ENSMUSG00000032661	protein_coding	Oas3
ENSMUSG00000107179	lncRNA	Gm43069
ENSMUSG00000066867	protein_coding	Oas1e
ENSMUSG00000001166	protein_coding	Oas1c
ENSMUSG00000053765	protein_coding	Oas1f
ENSMUSG00000001168	protein_coding	Oas1h
ENSMUSG00000066861	protein_coding	Oas1g
ENSMUSG00000052776	protein_coding	Oas1a
ENSMUSG00000032623	protein_coding	Oas1d
ENSMUSG00000029608	protein_coding	Rph3a
ENSMUSG00000043733	protein_coding	Ptpn11
ENSMUSG00000029614	protein_coding	Rpl6
ENSMUSG00000042744	protein_coding	Hectd4
ENSMUSG00000042726	protein_coding	Trafd1
ENSMUSG00000104985	lncRNA	Gm42917
ENSMUSG00000106209	lncRNA	Gm42918
ENSMUSG00000042719	protein_coding	Naa25
ENSMUSG00000029616	protein_coding	Erp29
ENSMUSG00000029452	protein_coding	Tmem116
ENSMUSG00000062438	protein_coding	Adam1b
ENSMUSG00000072647	protein_coding	Adam1a
ENSMUSG00000029454	protein_coding	Mapkapk5
ENSMUSG00000029455	protein_coding	Aldh2
ENSMUSG00000042647	protein_coding	Acad12
ENSMUSG00000029456	protein_coding	Acad10
ENSMUSG00000029458	protein_coding	Brap
ENSMUSG00000042605	protein_coding	Atxn2
ENSMUSG00000089729	lncRNA	Gm16552
ENSMUSG00000042594	protein_coding	Sh2b3
ENSMUSG00000104872	lncRNA	1700008B11Rik
ENSMUSG00000044134	protein_coding	Pheta1
ENSMUSG00000042589	protein_coding	Cux2
ENSMUSG00000105795	lncRNA	Gm3970
ENSMUSG00000087386	lncRNA	Gm15637
ENSMUSG00000013936	protein_coding	Myl2
ENSMUSG00000043036	protein_coding	Ccdc63
ENSMUSG00000004455	protein_coding	Ppp1cc
ENSMUSG00000064267	protein_coding	Hvcn1
ENSMUSG00000038593	protein_coding	Tctn1
ENSMUSG00000038582	protein_coding	Pptc7
ENSMUSG00000038569	protein_coding	Rad9b
ENSMUSG00000029462	protein_coding	Vps29
ENSMUSG00000029463	protein_coding	Fam216a
ENSMUSG00000029464	protein_coding	Gpn3
ENSMUSG00000029465	protein_coding	Arpc3
ENSMUSG00000105895	lncRNA	Gm42829
ENSMUSG00000029466	protein_coding	Anapc7
ENSMUSG00000029467	protein_coding	Atp2a2
ENSMUSG00000029469	protein_coding	Ift81
ENSMUSG00000105430	lncRNA	Gm43301
ENSMUSG00000029468	protein_coding	P2rx7
ENSMUSG00000029470	protein_coding	P2rx4
ENSMUSG00000029471	protein_coding	Camkk2
ENSMUSG00000029472	protein_coding	Anapc5
ENSMUSG00000029474	protein_coding	Rnf34
ENSMUSG00000029475	protein_coding	Kdm2b
ENSMUSG00000056735	lncRNA	A930024E05Rik
ENSMUSG00000106555	lncRNA	Gm2479
ENSMUSG00000049686	protein_coding	Orai1
ENSMUSG00000029477	protein_coding	Morn3
ENSMUSG00000054434	protein_coding	Tmem120b
ENSMUSG00000029449	protein_coding	Rhof
ENSMUSG00000090086	lncRNA	AI480526
ENSMUSG00000104156	lncRNA	Gm38102
ENSMUSG00000105881	lncRNA	4932422M17Rik
ENSMUSG00000038384	protein_coding	Setd1b
ENSMUSG00000029440	protein_coding	Psmd9
ENSMUSG00000029445	protein_coding	Hpd
ENSMUSG00000104606	lncRNA	Gm43409
ENSMUSG00000029442	protein_coding	Wdr66
ENSMUSG00000087063	lncRNA	Gm15857
ENSMUSG00000087336	lncRNA	Gm15860
ENSMUSG00000029438	protein_coding	Bcl7a
ENSMUSG00000104830	lncRNA	5830487J09Rik
ENSMUSG00000086700	lncRNA	Gm15747
ENSMUSG00000038342	protein_coding	Mlxip
ENSMUSG00000106636	lncRNA	Gm43813
ENSMUSG00000029437	protein_coding	Il31
ENSMUSG00000063409	protein_coding	Lrrc43
ENSMUSG00000086753	lncRNA	Gm15751
ENSMUSG00000029433	protein_coding	Diablo
ENSMUSG00000029431	protein_coding	B3gnt4
ENSMUSG00000114278	protein_coding	Gm49027
ENSMUSG00000029434	protein_coding	Vps33a
ENSMUSG00000049550	protein_coding	Clip1
ENSMUSG00000029427	protein_coding	Zcchc8
ENSMUSG00000029422	protein_coding	Rsrc2
ENSMUSG00000029414	protein_coding	Kntc1
ENSMUSG00000045502	protein_coding	Hcar2
ENSMUSG00000049241	protein_coding	Hcar1
ENSMUSG00000023106	protein_coding	Denr
ENSMUSG00000061882	protein_coding	Ccdc62
ENSMUSG00000000915	protein_coding	Hip1r
ENSMUSG00000066278	protein_coding	Vps37b
ENSMUSG00000106261	lncRNA	Gm34086
ENSMUSG00000104818	lncRNA	Gm43661
ENSMUSG00000029408	protein_coding	Abcb9
ENSMUSG00000085433	lncRNA	Gm16001
ENSMUSG00000023707	protein_coding	Ogfod2
ENSMUSG00000029404	protein_coding	Arl6ip4
ENSMUSG00000029406	protein_coding	Pitpnm2
ENSMUSG00000089842	lncRNA	Pitpnm2os2
ENSMUSG00000090220	lncRNA	Pitpnm2os1
ENSMUSG00000105759	lncRNA	Gm42425
ENSMUSG00000038126	protein_coding	Mphosph9
ENSMUSG00000047635	protein_coding	2810006K23Rik
ENSMUSG00000029394	protein_coding	Cdk2ap1
ENSMUSG00000038095	protein_coding	Sbno1
ENSMUSG00000049327	protein_coding	Kmt5a
ENSMUSG00000029401	protein_coding	Rilpl2
ENSMUSG00000029402	protein_coding	Snrnp35
ENSMUSG00000029392	protein_coding	Rilpl1
ENSMUSG00000029390	protein_coding	Tmed2
ENSMUSG00000029389	protein_coding	Ddx55
ENSMUSG00000029388	protein_coding	Eif2b1
ENSMUSG00000029387	protein_coding	Gtf2h3
ENSMUSG00000029386	protein_coding	Tctn2
ENSMUSG00000038023	protein_coding	Atp6v0a2
ENSMUSG00000106082	lncRNA	4930404A12Rik
ENSMUSG00000038011	protein_coding	Dnah10
ENSMUSG00000105583	lncRNA	Gm43777
ENSMUSG00000037979	protein_coding	Ccdc92
ENSMUSG00000079215	protein_coding	Zfp664
ENSMUSG00000037962	protein_coding	Rflna
ENSMUSG00000029478	protein_coding	Ncor2
ENSMUSG00000105604	lncRNA	Gm42838
ENSMUSG00000106663	lncRNA	Gm42839
ENSMUSG00000105039	lncRNA	Gm32585
ENSMUSG00000037936	protein_coding	Scarb1
ENSMUSG00000104932	lncRNA	Gm40323
ENSMUSG00000008348	protein_coding	Ubc
ENSMUSG00000072612	lncRNA	Gm10382
ENSMUSG00000029480	protein_coding	Dhx37
ENSMUSG00000037905	protein_coding	Bri3bp
ENSMUSG00000029482	protein_coding	Aacs
ENSMUSG00000070498	protein_coding	Tmem132b
ENSMUSG00000105274	lncRNA	1700048F04Rik
ENSMUSG00000106378	lncRNA	Gm42945
ENSMUSG00000105593	lncRNA	Gm42952
ENSMUSG00000104825	lncRNA	Gm40330
ENSMUSG00000105673	lncRNA	1700081B01Rik
ENSMUSG00000106235	lncRNA	Gm33347
ENSMUSG00000105316	lncRNA	Gm42953
ENSMUSG00000106644	lncRNA	Gm40331
ENSMUSG00000105490	lncRNA	4933438B17Rik
ENSMUSG00000105575	lncRNA	Gm43475
ENSMUSG00000105308	lncRNA	4930572K03Rik
ENSMUSG00000104778	lncRNA	Gm43476
ENSMUSG00000034324	protein_coding	Tmem132c
ENSMUSG00000087104	lncRNA	Tmem132cos
ENSMUSG00000106015	lncRNA	Gm42980
ENSMUSG00000029416	protein_coding	Slc15a4
ENSMUSG00000049971	protein_coding	Glt1d1
ENSMUSG00000034310	protein_coding	Tmem132d
ENSMUSG00000105857	lncRNA	Gm42817
ENSMUSG00000106275	lncRNA	Gm42495
ENSMUSG00000104727	lncRNA	Gm42500
ENSMUSG00000104980	lncRNA	4930573I07Rik
ENSMUSG00000072591	lncRNA	Fzd10os
ENSMUSG00000081683	protein_coding	Fzd10
ENSMUSG00000029423	protein_coding	Piwil1
ENSMUSG00000029420	protein_coding	Rimbp2
ENSMUSG00000105271	lncRNA	Gm42875
ENSMUSG00000106522	lncRNA	Gm42871
ENSMUSG00000029428	protein_coding	Stx2
ENSMUSG00000029430	protein_coding	Ran
ENSMUSG00000044017	protein_coding	Adgrd1
ENSMUSG00000104681	lncRNA	Gm43001
ENSMUSG00000029439	protein_coding	Sfswap
ENSMUSG00000029436	protein_coding	Mmp17
ENSMUSG00000051034	protein_coding	Zfp11
ENSMUSG00000034219	protein_coding	Sept14
ENSMUSG00000034211	protein_coding	Mrps17
ENSMUSG00000029432	protein_coding	Nipsnap2
ENSMUSG00000086916	lncRNA	Gm15903
ENSMUSG00000029446	protein_coding	Psph
ENSMUSG00000029447	protein_coding	Cct6a
ENSMUSG00000025538	protein_coding	Sumf2
ENSMUSG00000025537	protein_coding	Phkg1
ENSMUSG00000070493	protein_coding	Chchd2
ENSMUSG00000034173	protein_coding	Zbed5
ENSMUSG00000095789	protein_coding	Nupr1l
ENSMUSG00000066735	protein_coding	Vkorc1l1
ENSMUSG00000025534	protein_coding	Gusb
ENSMUSG00000025533	protein_coding	Asl
ENSMUSG00000025532	protein_coding	Crcp
ENSMUSG00000034118	protein_coding	Tpst1
ENSMUSG00000034110	protein_coding	Kctd7
ENSMUSG00000025340	protein_coding	Rabgef1
ENSMUSG00000053094	protein_coding	Tmem248
ENSMUSG00000107143	lncRNA	Gm6598
ENSMUSG00000025337	protein_coding	Sbds
ENSMUSG00000056310	protein_coding	Tyw1
ENSMUSG00000060371	protein_coding	Caln1
ENSMUSG00000052014	protein_coding	A330070K13Rik
ENSMUSG00000034040	protein_coding	Galnt17
ENSMUSG00000106710	lncRNA	Gm43166
ENSMUSG00000105387	lncRNA	Gm29681
ENSMUSG00000029673	protein_coding	Auts2
ENSMUSG00000104987	lncRNA	2810432F15Rik
ENSMUSG00000105773	lncRNA	4930563F08Rik
ENSMUSG00000106395	lncRNA	Gm42439
ENSMUSG00000100420	lncRNA	Gm28616
ENSMUSG00000105809	lncRNA	Gm42626
ENSMUSG00000105227	lncRNA	Gm36667
ENSMUSG00000087344	lncRNA	Gm15627
ENSMUSG00000015944	protein_coding	Castor2
ENSMUSG00000061979	protein_coding	Rcc1l
ENSMUSG00000015942	protein_coding	Gtf2ird2
ENSMUSG00000015950	protein_coding	Ncf1
ENSMUSG00000060261	protein_coding	Gtf2i
ENSMUSG00000107076	lncRNA	Gm43480
ENSMUSG00000023079	protein_coding	Gtf2ird1
ENSMUSG00000106969	lncRNA	Gm42882
ENSMUSG00000063146	protein_coding	Clip2
ENSMUSG00000107090	lncRNA	Gm42884
ENSMUSG00000085957	protein_coding	Syna
ENSMUSG00000023104	protein_coding	Rfc2
ENSMUSG00000040751	protein_coding	Lat2
ENSMUSG00000040731	protein_coding	Eif4h
ENSMUSG00000029674	protein_coding	Limk1
ENSMUSG00000072573	lncRNA	Gm10369
ENSMUSG00000029675	protein_coding	Eln
ENSMUSG00000107318	lncRNA	Gm30003
ENSMUSG00000040576	protein_coding	Tmem270
ENSMUSG00000008843	protein_coding	Cldn13
ENSMUSG00000107322	lncRNA	4933439J24Rik
ENSMUSG00000040557	protein_coding	Mettl27
ENSMUSG00000047501	protein_coding	Cldn4
ENSMUSG00000070473	protein_coding	Cldn3
ENSMUSG00000054909	lncRNA	Wbscr25
ENSMUSG00000040532	protein_coding	Abhd11
ENSMUSG00000007207	protein_coding	Stx1a
ENSMUSG00000005378	protein_coding	Bud23
ENSMUSG00000061118	protein_coding	Dnajc30
ENSMUSG00000043614	protein_coding	Vps37d
ENSMUSG00000005373	protein_coding	Mlxipl
ENSMUSG00000107296	lncRNA	Gm43500
ENSMUSG00000005374	protein_coding	Tbl2
ENSMUSG00000029681	protein_coding	Bcl7b
ENSMUSG00000002748	protein_coding	Baz1b
ENSMUSG00000049551	protein_coding	Fzd9
ENSMUSG00000040013	protein_coding	Fkbp6
ENSMUSG00000053388	protein_coding	Trim50
ENSMUSG00000000916	protein_coding	Nsun5
ENSMUSG00000053293	protein_coding	Pom121
ENSMUSG00000039959	protein_coding	Hip1
ENSMUSG00000070464	protein_coding	Ccl26
ENSMUSG00000004814	protein_coding	Ccl24
ENSMUSG00000039917	protein_coding	Rhbdd2
ENSMUSG00000105239	lncRNA	Gm43091
ENSMUSG00000005514	protein_coding	Por
ENSMUSG00000039886	protein_coding	Tmem120a
ENSMUSG00000019178	protein_coding	Styxl1
ENSMUSG00000019179	protein_coding	Mdh2
ENSMUSG00000039860	protein_coding	Srrm3
ENSMUSG00000085026	lncRNA	Srrm3os
ENSMUSG00000004951	protein_coding	Hspb1
ENSMUSG00000051391	protein_coding	Ywhag
ENSMUSG00000029699	protein_coding	Ssc4d
ENSMUSG00000004948	protein_coding	Zp3
ENSMUSG00000004947	protein_coding	Dtx2
ENSMUSG00000042985	protein_coding	Upk3b
ENSMUSG00000006143	protein_coding	Upk3bl
ENSMUSG00000004952	protein_coding	Rasa4
ENSMUSG00000086656	lncRNA	Gm15701
ENSMUSG00000039771	protein_coding	Polr2j
ENSMUSG00000105349	lncRNA	Gm43604
ENSMUSG00000029703	protein_coding	Lrwd1
ENSMUSG00000039754	protein_coding	Alkbh4
ENSMUSG00000039747	protein_coding	Orai2
ENSMUSG00000039737	protein_coding	Prkrip1
ENSMUSG00000005057	protein_coding	Sh2b2
ENSMUSG00000029705	protein_coding	Cux1
ENSMUSG00000086220	lncRNA	Gm16599
ENSMUSG00000005474	protein_coding	Myl10
ENSMUSG00000004415	protein_coding	Col26a1
ENSMUSG00000092402	lncRNA	Gm20485
ENSMUSG00000007987	protein_coding	Ift22
ENSMUSG00000097908	lncRNA	4933404O12Rik
ENSMUSG00000019054	protein_coding	Fis1
ENSMUSG00000001739	protein_coding	Cldn15
ENSMUSG00000059518	protein_coding	Znhit1
ENSMUSG00000004846	protein_coding	Plod3
ENSMUSG00000037428	protein_coding	Vgf
ENSMUSG00000004849	protein_coding	Ap1s1
ENSMUSG00000037411	protein_coding	Serpine1
ENSMUSG00000043279	protein_coding	Trim56
ENSMUSG00000037390	protein_coding	Muc3
ENSMUSG00000079174	lncRNA	Gm3054
ENSMUSG00000106466	lncRNA	Gm40348
ENSMUSG00000118522	protein_coding	CAAA01077340.1
ENSMUSG00000094840	protein_coding	Muc3a
ENSMUSG00000105736	lncRNA	Gm42456
ENSMUSG00000023328	protein_coding	Ache
ENSMUSG00000051502	protein_coding	Ufsp1
ENSMUSG00000037364	protein_coding	Srrt
ENSMUSG00000023348	protein_coding	Trip6
ENSMUSG00000037344	protein_coding	Slc12a9
ENSMUSG00000029710	protein_coding	Ephb4
ENSMUSG00000079173	protein_coding	Zan
ENSMUSG00000029711	protein_coding	Epo
ENSMUSG00000029715	protein_coding	Pop7
ENSMUSG00000105851	lncRNA	9130604C24Rik
ENSMUSG00000106237	lncRNA	Gm8066
ENSMUSG00000029714	protein_coding	Gigyf1
ENSMUSG00000029713	protein_coding	Gnb2
ENSMUSG00000090873	lncRNA	Gm17112
ENSMUSG00000029712	protein_coding	Actl6b
ENSMUSG00000029716	protein_coding	Tfr2
ENSMUSG00000037221	protein_coding	Mospd3
ENSMUSG00000029718	protein_coding	Pcolce
ENSMUSG00000089984	protein_coding	Fbxo24
ENSMUSG00000106617	lncRNA	Gm36266
ENSMUSG00000093445	protein_coding	Lrch4
ENSMUSG00000079165	protein_coding	Sap25
ENSMUSG00000047182	protein_coding	Irs3
ENSMUSG00000029722	protein_coding	Agfg2
ENSMUSG00000079163	lncRNA	Gm15498
ENSMUSG00000045348	protein_coding	Nyap1
ENSMUSG00000029723	protein_coding	Tsc22d4
ENSMUSG00000029725	protein_coding	Ppp1r35
ENSMUSG00000029726	protein_coding	Mepce
ENSMUSG00000037108	protein_coding	Zcwpw1
ENSMUSG00000046245	protein_coding	Pilra
ENSMUSG00000066684	protein_coding	Pilrb1
ENSMUSG00000106478	lncRNA	Gm36551
ENSMUSG00000066682	protein_coding	Pilrb2
ENSMUSG00000106155	lncRNA	Gm43495
ENSMUSG00000029727	protein_coding	Cyp3a13
ENSMUSG00000056966	protein_coding	Gjc3
ENSMUSG00000037053	protein_coding	Azgp1
ENSMUSG00000075599	protein_coding	Smok3a
ENSMUSG00000079156	protein_coding	Smok3b
ENSMUSG00000075598	protein_coding	Smok3c
ENSMUSG00000029729	protein_coding	Zkscan1
ENSMUSG00000037017	protein_coding	Zscan21
ENSMUSG00000037007	protein_coding	Zfp113
ENSMUSG00000019494	protein_coding	Cops6
ENSMUSG00000029730	protein_coding	Mcm7
